trip_id,pickup_datetime,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,weather,actual_duration
TRIP_00000,2026-08-17 17:56:03,40.73763570765056,-74.02718798410113,40.73728086573595,-74.0114906805949,Rainy,20.543108305644818
TRIP_00001,2026-08-03 07:35:22,40.70588678494144,-74.02867070541919,40.71672180104983,-74.00965038253139,Clear,9.471275474345772
TRIP_00002,2026-08-15 12:13:13,40.745184426905034,-74.09578215863151,40.74726299507368,-74.07385331227388,Rainy,14.365509817987704
TRIP_00003,2026-08-05 04:58:21,40.7889514928204,-74.02250450958508,40.81226403422878,-73.9740986657357,Clear,14.140169761262314
TRIP_00004,2026-08-13 03:49:37,40.70109233126384,-73.96935854590892,40.7570076872077,-73.97177506516353,Clear,15.796938676505775
TRIP_00005,2026-08-05 02:19:34,40.701093152152545,-74.06971160595384,40.69796188743831,-74.07510201569922,Clear,6.494329203359987
TRIP_00006,2026-08-03 19:01:51,40.79176064077537,-73.95357586744747,40.84178525570842,-73.89647727518317,Clear,40.06469265587049
TRIP_00007,2026-08-18 09:55:57,40.75117173645765,-73.98161125894579,40.74772157428724,-73.97549060120222,Clear,12.20975660199878
TRIP_00008,2026-08-21 06:58:51,40.689326280703256,-74.04271166609855,40.683897464328346,-74.06060272670587,Rainy,9.025921962711784
TRIP_00009,2026-08-22 13:09:19,40.7399280021793,-74.01307648186689,40.784485840729594,-74.00763038012988,Clear,15.443384873579122
TRIP_00010,2026-08-16 05:16:05,40.68962911535938,-73.92608390961794,40.73728720669961,-73.91598549167526,Clear,12.058171714970198
TRIP_00011,2026-08-22 17:31:27,40.68951351232149,-73.9693226093247,40.73505581042437,-73.90267372749294,Clear,40.35629507791737
TRIP_00012,2026-08-10 09:40:21,40.724898113578305,-74.00556081725509,40.70542419133176,-73.95781603088379,Clear,25.125704542935804
TRIP_00013,2026-08-15 10:28:06,40.617135987767114,-74.01788416584805,40.62315745842495,-73.96345854734908,Clear,26.918792096862976
TRIP_00014,2026-08-18 01:31:01,40.62655410837435,-74.00216954647742,40.67124376613445,-73.95757033720702,Clear,12.452893970119323
TRIP_00015,2026-08-13 10:24:18,40.68468562353795,-74.03158817789712,40.70593187875487,-73.98320086774866,Clear,-99.0
TRIP_00016,2026-08-20 00:16:51,40.66215844398328,-74.11123747528595,40.649947658597355,-74.11187993908335,Clear,3.445115749277186
TRIP_00017,2026-08-18 07:44:03,40.728512366629765,-73.90389110447326,40.76226190480353,-73.88984916913387,Clear,9.685342794014547
TRIP_00018,2026-08-19 02:37:27,40.66739879622394,-73.99823375004003,40.6659545784542,-74.00793120943074,Clear,4.539731682209345
TRIP_00019,2026-08-06 21:05:55,40.64218481493324,-73.98609263674388,40.716020560385005,-73.97240727765998,Clear,24.60649399897111
TRIP_00020,2026-08-08 16:41:55,40.78608243844608,-74.00889538749385,40.85242768231863,-73.9683722377658,Clear,19.26924906897425
TRIP_00021,2026-08-05 18:42:41,40.70151118497567,-74.04275584003624,40.73963410776634,-74.01871834149186,Clear,25.88002985285702
TRIP_00022,2026-08-03 21:23:09,40.7161764102344,-74.01529622404743,40.77700661137749,-73.95595179947863,Rainy,30.746231865737673
TRIP_00023,2026-08-02 08:36:52,40.641562590689325,-74.08596973810971,40.66350633119303,-74.10021221187652,Rainy,23.407242178942077
TRIP_00024,2026-08-17 05:42:58,40.685580863773744,-73.89214567509734,40.728543988605,-73.85713852457638,Snowy,26.50553552089577
TRIP_00025,2026-08-05 06:06:31,40.7183461294855,-74.06772559992112,40.78267773834456,-74.0851746839772,Clear,19.61234082774556
TRIP_00026,2026-08-04 20:41:31,40.65525032112889,-74.05759831419236,40.68261528158272,-74.03477302011716,Clear,21.079169253545615
TRIP_00027,2026-08-24 17:32:13,40.731584900917284,-74.02801296021931,40.743929285771856,-73.98580295754262,Rainy,27.351290748718615
TRIP_00028,2026-08-06 10:45:19,40.682768065504064,-73.94159621375738,40.65162940675875,-73.9280312907621,Clear,18.933075238009213
TRIP_00029,2026-08-03 15:47:06,40.698215312510335,-74.00527455003687,40.71572130673869,-73.96874075191427,Clear,10.079090215448076
TRIP_00030,2026-08-08 03:43:43,40.68271466938853,-74.06780678980152,40.7274173649254,-74.0765987598465,Rainy,12.06047745572905
TRIP_00031,2026-08-10 11:42:42,40.80541390922545,-73.94328308196214,40.85378291205248,-73.97319378130803,Clear,20.80285026704449
TRIP_00032,2026-08-15 05:28:26,40.712125138763106,-73.96944996866073,40.74725609073466,-73.93273907998609,Clear,12.070373187567009
TRIP_00033,2026-08-11 01:55:21,40.659914453552204,-73.97907825213917,40.66367548070334,-73.90675794511691,Rainy,23.101022521498464
TRIP_00034,2026-08-09 10:15:44,40.75392724560516,-73.97021328794146,40.714622598536735,-73.98009463614656,Rainy,27.229568647268415
TRIP_00035,2026-08-13 21:53:59,40.65175781750145,-73.88628190497087,40.65690136456131,-73.82961607956767,Rainy,18.15965423943
TRIP_00036,2026-08-18 20:24:32,40.72324317975024,-73.89674525524819,40.734112833618624,-73.8754425529837,Clear,15.2398092800669
TRIP_00037,2026-08-20 09:57:29,40.61481649380601,-74.04033576715017,40.62542862479031,-74.06040651280097,Rainy,17.70673572245438
TRIP_00038,2026-08-19 16:00:32,40.64639069755508,-73.92480575035944,40.68494738826441,-73.9387509094,Rainy,19.806083853937448
TRIP_00039,2026-08-17 14:28:01,40.722643061793455,-73.98684159051206,40.8022133541239,-73.96636804731124,Rainy,31.069748460087833
